datetime,temp_degC,rel_humidity,wind_dir,wind_km_hr,gust_km_hr,precip_mm_hr,solar_w_m2,pressure_kpa,wx-gap-filled-from-atmos-41,solar-gap-filled-from-mx2202
1/1/2024 22:00,24.4,95,West,12,23,12.8,NA,NA,0,0
1/1/2024 23:00,24.6,95,East,15,27,12.8,NA,NA,0,0
1/2/2024 0:00,23.8,93,South,8,28,15,NA,NA,0,0
1/2/2024 1:00,23.4,96,West North-West,2,8,4.6,NA,NA,0,0
1/2/2024 2:00,24.9,90,North North-East,13,26,5.4,NA,NA,0,0
1/2/2024 3:00,24.7,90,North-East,16,24,6.8,NA,NA,0,0
1/2/2024 4:00,25.3,84,East North-East,14,27,3.6,NA,NA,0,0
1/2/2024 5:00,25.2,86,North-East,9,18,0.4,NA,NA,0,0
1/2/2024 6:00,25.6,88,North-East,10,17,0,NA,NA,0,0
1/2/2024 7:00,25.1,91,East,2,15,0,NA,NA,0,0
1/2/2024 8:00,25.4,92,West,4,8,0,NA,NA,0,0
1/2/2024 9:00,26.7,87,South,2,6,0,NA,NA,0,0
1/2/2024 10:00,27.5,79,South,7,13,0,NA,NA,0,0
1/2/2024 11:00,27.6,79,East,12,17,0,NA,NA,0,0
1/2/2024 12:00,27.4,81,East South-East,18,25,0,NA,NA,0,0
1/2/2024 13:00,27.9,75,East South-East,25,33,0,NA,NA,0,0
1/2/2024 14:00,28.1,77,East South-East,24,34,0,NA,NA,0,0
1/2/2024 15:00,28.1,80,East South-East,26,34,0,NA,NA,0,0
1/2/2024 16:00,28.2,85,East South-East,25,38,0,NA,NA,0,0
1/2/2024 17:00,28.2,85,East South-East,26,35,0,NA,NA,0,0
1/2/2024 18:00,28.1,86,East South-East,31,40,0,NA,NA,0,0
1/2/2024 19:00,28.2,84,East South-East,26,39,0,NA,NA,0,0
1/2/2024 20:00,28.2,85,East South-East,26,38,0,NA,NA,0,0
1/2/2024 21:00,28.3,83,East South-East,28,37,0,NA,NA,0,0
1/2/2024 22:00,28.2,85,East South-East,26,36,0,NA,NA,0,0
1/2/2024 23:00,28.2,85,East,26,33,0,NA,NA,0,0
1/3/2024 0:00,28.2,84,East,26,33,0,NA,NA,0,0
1/3/2024 1:00,28.1,84,East,26,34,0,NA,NA,0,0
1/3/2024 2:00,28.1,82,East,27,34,0,NA,NA,0,0
1/3/2024 3:00,28,83,East,25,35,0,NA,NA,0,0
1/3/2024 4:00,27.9,84,East,25,36,0,NA,NA,0,0
1/3/2024 5:00,28,85,East,30,42,0.8,NA,NA,0,0
1/3/2024 6:00,28.1,84,East,30,39,0,NA,NA,0,0
1/3/2024 7:00,28.1,85,East,27,36,0,NA,NA,0,0
1/3/2024 8:00,28.2,87,East,24,36,0,NA,NA,0,0
1/3/2024 9:00,28.4,86,East,28,39,0,NA,NA,0,0
1/3/2024 10:00,28.5,85,East,29,44,0.6,NA,NA,0,0
1/3/2024 11:00,28.6,84,East,27,39,0,NA,NA,0,0
1/3/2024 12:00,28.7,85,East,27,37,0,NA,NA,0,0
1/3/2024 13:00,28.7,84,East,25,34,0,NA,NA,0,0
1/3/2024 14:00,26.5,89,East North-East,23,45,1.6,NA,NA,0,0
1/3/2024 15:00,27.7,87,East,18,29,0,NA,NA,0,0
1/3/2024 16:00,28.2,86,East,18,28,0,NA,NA,0,0
1/3/2024 17:00,25.8,91,East South-East,22,45,9.4,NA,NA,0,0
1/3/2024 18:00,27.3,85,East,18,31,1.6,NA,NA,0,0
1/3/2024 19:00,25.9,90,South-East,25,46,0.4,NA,NA,0,0
1/3/2024 20:00,27.1,90,East South-East,15,22,0,NA,NA,0,0
1/3/2024 21:00,27.9,87,East South-East,16,22,0,NA,NA,0,0
1/3/2024 22:00,27.7,85,East,23,33,0,NA,NA,0,0
1/3/2024 23:00,27.4,91,East,14,31,0,NA,NA,0,0
1/4/2024 0:00,27.9,85,East,15,22,0,NA,NA,0,0
1/4/2024 1:00,27.8,89,East,20,26,0,NA,NA,0,0
1/4/2024 2:00,24.9,94,North,15,46,2.4,NA,NA,0,0
1/4/2024 3:00,25.2,87,North-East,8,20,0.4,NA,NA,0,0
1/4/2024 4:00,26.7,88,East,14,22,0,NA,NA,0,0
1/4/2024 5:00,27,90,East North-East,19,24,0,NA,NA,0,0
1/4/2024 6:00,26.8,89,East North-East,26,36,0.2,NA,NA,0,0
1/4/2024 7:00,27,87,East North-East,27,34,0,NA,NA,0,0
1/4/2024 8:00,27.3,86,North-East,27,37,0,NA,NA,0,0
1/4/2024 9:00,27,88,East,25,36,0,NA,NA,0,0
1/4/2024 10:00,27.5,84,East,21,35,0,NA,NA,0,0
1/4/2024 11:00,27.4,85,East,21,30,0,NA,NA,0,0
1/4/2024 12:00,27.6,81,East South-East,22,29,0,NA,NA,0,0
1/4/2024 13:00,27.9,83,South-East,27,34,0,NA,NA,0,0
1/4/2024 14:00,27.9,84,East South-East,28,39,0,NA,NA,0,0
1/4/2024 15:00,28,84,East South-East,31,37,0,NA,NA,0,0
1/4/2024 16:00,27.8,86,South-East,30,48,0,NA,NA,0,0
1/4/2024 17:00,27.9,87,East South-East,35,43,0,NA,NA,0,0
1/4/2024 18:00,27.7,88,South-East,36,46,0,NA,NA,0,0
1/4/2024 19:00,27.3,87,South-East,40,51,0,NA,NA,0,0
1/4/2024 20:00,27.8,88,East South-East,37,54,0,NA,NA,0,0
1/4/2024 21:00,27.7,88,East South-East,31,47,0,NA,NA,0,0
1/4/2024 22:00,27.8,88,East South-East,31,47,0,NA,NA,0,0
1/4/2024 23:00,27.7,87,East,32,45,2.8,NA,NA,0,0
1/5/2024 0:00,27.7,88,East,35,46,0,NA,NA,0,0
1/5/2024 1:00,27.4,89,East,33,47,0,NA,NA,0,0
1/5/2024 2:00,27.3,88,East,26,37,0,NA,NA,0,0
1/5/2024 3:00,27.4,89,East,32,41,0.6,NA,NA,0,0
1/5/2024 4:00,27.4,85,East North-East,31,46,0,NA,NA,0,0
1/5/2024 5:00,27.7,86,East,29,38,0,NA,NA,0,0
1/5/2024 6:00,27.8,86,East,31,40,1.6,NA,NA,0,0
1/5/2024 7:00,27.7,88,East,27,42,0.4,NA,NA,0,0
1/5/2024 8:00,27.9,86,East,27,39,0,NA,NA,0,0
1/5/2024 9:00,27.7,87,East,30,42,1.6,NA,NA,0,0
1/5/2024 10:00,27.8,88,East,27,38,0.6,NA,NA,0,0
1/5/2024 11:00,28.2,86,East,30,36,0,NA,NA,0,0
1/5/2024 12:00,28.2,87,East,26,36,0,NA,NA,0,0
1/5/2024 13:00,28.3,86,East,27,35,0,NA,NA,0,0
1/5/2024 14:00,28.1,89,East,23,33,0,NA,NA,0,0
1/5/2024 15:00,28.1,89,East,18,30,0,NA,NA,0,0
1/5/2024 16:00,28.4,86,East,26,32,0,NA,NA,0,0
1/5/2024 17:00,28.2,83,East,22,30,0,NA,NA,0,0
1/5/2024 18:00,28.3,88,East North-East,24,31,0,NA,NA,0,0
1/5/2024 19:00,28.3,89,East,24,30,0,NA,NA,0,0
1/5/2024 20:00,27.9,85,East,26,33,0,NA,NA,0,0
1/5/2024 21:00,28.2,84,East South-East,27,34,0,NA,NA,0,0
1/5/2024 22:00,27.9,88,East South-East,28,37,0,NA,NA,0,0
1/5/2024 23:00,27.7,91,East South-East,27,36,0,NA,NA,0,0
1/6/2024 0:00,27.5,88,East,26,35,2.4,NA,NA,0,0
1/6/2024 1:00,25.4,96,South South-East,52,70,10.3,NA,NA,0,0
1/6/2024 2:00,24.6,99,South-East,51,72,32.6,NA,NA,0,0
1/6/2024 3:00,23.9,96,South South-East,45,63,7.2,NA,NA,0,0
1/6/2024 4:00,23.9,94,South South-East,35,54,4.8,NA,NA,0,0
1/6/2024 5:00,24.7,91,East South-East,23,40,0.8,NA,NA,0,0
1/6/2024 6:00,25.8,90,East South-East,24,33,0,NA,NA,0,0
1/6/2024 7:00,26.2,89,East South-East,33,42,0,NA,NA,0,0
1/6/2024 8:00,26.7,88,East,28,41,0,NA,NA,0,0
1/6/2024 9:00,27.1,83,East,21,32,0,NA,NA,0,0
1/6/2024 10:00,27.1,83,East South-East,18,25,0,NA,NA,0,0
1/6/2024 11:00,27.3,83,South-East,23,32,0,NA,NA,0,0
1/6/2024 12:00,27.4,84,South-East,25,33,0,NA,NA,0,0
1/6/2024 13:00,27.5,84,South-East,21,31,0,NA,NA,0,0
1/6/2024 14:00,27.5,85,South-East,25,37,0,NA,NA,0,0
1/6/2024 15:00,27.4,84,East South-East,24,31,0,NA,NA,0,0
1/6/2024 16:00,27.9,79,East South-East,22,33,0,NA,NA,0,0
1/6/2024 17:00,27.9,79,East South-East,23,30,0,NA,NA,0,0
1/6/2024 18:00,27.9,79,South-East,24,31,0,NA,NA,0,0
1/6/2024 19:00,27.8,82,East South-East,23,31,0,NA,NA,0,0
1/6/2024 20:00,27.5,86,East South-East,21,29,0,NA,NA,0,0
1/6/2024 21:00,27.6,82,East South-East,21,30,0,NA,NA,0,0
1/6/2024 22:00,27.7,82,East South-East,20,28,0,NA,NA,0,0
1/6/2024 23:00,27.5,85,East South-East,17,25,0,NA,NA,0,0
1/7/2024 0:00,27.4,84,South-East,22,27,0,NA,NA,0,0
1/7/2024 1:00,27.4,84,South-East,22,27,0,NA,NA,0,0
1/7/2024 2:00,27.3,85,South-East,21,28,0,NA,NA,0,0
1/7/2024 3:00,27.1,88,South-East,24,31,0,NA,NA,0,0
1/7/2024 4:00,26.6,90,East,16,36,2.2,NA,NA,0,0
1/7/2024 5:00,27.3,85,East South-East,20,27,0,NA,NA,0,0
1/7/2024 6:00,27.3,84,East South-East,19,26,0,NA,NA,0,0
1/7/2024 7:00,27.4,84,South-East,21,27,0,NA,NA,0,0
1/7/2024 8:00,27.6,83,South-East,19,28,0,NA,NA,0,0
1/7/2024 9:00,27.8,81,South-East,21,28,0,NA,NA,0,0
1/7/2024 10:00,28,81,South-East,18,28,0,NA,NA,0,0
1/7/2024 11:00,28,80,East South-East,16,27,0,NA,NA,0,0
1/7/2024 12:00,28.2,81,East South-East,15,23,0,NA,NA,0,0
1/7/2024 13:00,28.1,81,East South-East,18,27,0,NA,NA,0,0
1/7/2024 14:00,28.2,80,East,15,24,0,NA,NA,0,0
1/7/2024 15:00,28.2,79,East South-East,13,22,0,NA,NA,0,0
1/7/2024 16:00,28.3,77,East,14,20,0,NA,NA,0,0
1/7/2024 17:00,28.4,78,South-East,15,21,0,NA,NA,0,0
1/7/2024 18:00,28,85,South-East,20,26,0,NA,NA,0,0
1/7/2024 19:00,28,82,East,18,26,0,NA,NA,0,0
1/7/2024 20:00,26.8,90,South South-East,22,37,0.2,NA,NA,0,0
1/7/2024 21:00,27.9,82,South-East,20,25,0.2,NA,NA,0,0
1/7/2024 22:00,27.5,85,East South-East,22,27,0,NA,NA,0,0
1/7/2024 23:00,27.7,84,East South-East,18,29,0,NA,NA,0,0
1/8/2024 0:00,27.6,83,South-East,19,25,0,NA,NA,0,0
1/8/2024 1:00,27.3,86,South-East,22,28,0,NA,NA,0,0
1/8/2024 2:00,27,88,South South-East,22,32,0,NA,NA,0,0
1/8/2024 3:00,26.9,87,South-East,26,32,0,NA,NA,0,0
1/8/2024 4:00,26.6,89,South-East,27,35,0,NA,NA,0,0
1/8/2024 5:00,26.7,88,South-East,25,36,0,NA,NA,0,0
1/8/2024 6:00,26.3,90,South-East,27,36,0,NA,NA,0,0
1/8/2024 7:00,26.8,89,South-East,25,36,0,NA,NA,0,0
1/8/2024 8:00,26.5,91,East,25,33,1,NA,NA,0,0
1/8/2024 9:00,27.6,84,East South-East,24,33,0,NA,NA,0,0
1/8/2024 10:00,27.8,84,East South-East,23,31,0,NA,NA,0,0
1/8/2024 11:00,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1/8/2024 12:00,28,84,East South-East,22,33,0,NA,NA,0,0
1/8/2024 13:00,28.1,81,East South-East,24,33,0,NA,NA,0,0
1/8/2024 14:00,28.3,86,East,21,33,0,NA,NA,0,0
1/8/2024 15:00,28.1,83,East South-East,22,30,0,NA,NA,0,0
1/8/2024 16:00,28.2,85,East,20,28,0,NA,NA,0,0
1/8/2024 17:00,28.3,84,East,20,31,0,NA,NA,0,0
1/8/2024 18:00,28.5,80,East,22,31,0,NA,NA,0,0
1/8/2024 19:00,28,84,East,28,34,0,NA,NA,0,0
1/8/2024 20:00,28,85,East,23,33,0,NA,NA,0,0
1/8/2024 21:00,27.8,84,East,22,29,0,NA,NA,0,0
1/8/2024 22:00,27.8,84,East,21,30,0,NA,NA,0,0
1/8/2024 23:00,26.9,82,North-East,19,37,0.4,NA,NA,0,0
1/9/2024 0:00,25.8,88,East South-East,12,33,3.8,NA,NA,0,0
1/9/2024 1:00,27.6,85,East,22,29,0.4,NA,NA,0,0
1/9/2024 2:00,27.7,85,East,19,33,0,NA,NA,0,0
1/9/2024 3:00,27.6,82,East South-East,19,26,0,NA,NA,0,0
1/9/2024 4:00,27.6,85,East South-East,20,28,0,NA,NA,0,0
1/9/2024 5:00,27.5,86,East,21,27,0,NA,NA,0,0
1/9/2024 6:00,26.6,91,East North-East,18,36,1.2,NA,NA,0,0
1/9/2024 7:00,27.6,83,East,18,29,0,NA,NA,0,0
1/9/2024 8:00,28.2,82,East,21,26,0,NA,NA,0,0
1/9/2024 9:00,28.1,86,East,14,40,0.2,NA,NA,0,0
1/9/2024 10:00,28.2,85,East,17,21,0,NA,NA,0,0
1/9/2024 11:00,27.2,89,East North-East,20,45,4.9,NA,NA,0,0
1/9/2024 12:00,28.4,85,East North-East,17,26,0,NA,NA,0,0
1/9/2024 13:00,28.5,84,East North-East,17,35,2.2,NA,NA,0,0
1/9/2024 14:00,28.9,80,North-East,19,30,0,NA,NA,0,0
1/9/2024 15:00,28.7,78,North-East,15,27,0,NA,NA,0,0
1/9/2024 16:00,28.6,79,North-East,11,22,0,NA,NA,0,0
1/9/2024 17:00,27.4,89,East,26,32,0,NA,NA,0,0
1/9/2024 18:00,26.2,92,East South-East,17,39,2.2,NA,NA,0,0
1/9/2024 19:00,27.7,87,East North-East,15,24,0.2,NA,NA,0,0
1/9/2024 20:00,27.7,87,North-East,13,22,0,NA,NA,0,0
1/9/2024 21:00,27.4,87,East,19,24,0,NA,NA,0,0
1/9/2024 22:00,26.6,90,East,13,27,1,NA,NA,0,0
1/9/2024 23:00,26.3,91,East,18,26,0,NA,NA,0,0
1/10/2024 0:00,25,94,North North-East,13,28,2.8,NA,NA,0,0
1/10/2024 1:00,24.8,96,North North-East,8,27,14.4,NA,NA,0,0
1/10/2024 2:00,25.7,92,East North-East,15,24,3,NA,NA,0,0
1/10/2024 3:00,26.1,88,East,13,21,0.2,NA,NA,0,0
1/10/2024 4:00,26.5,89,East North-East,18,24,0,NA,NA,0,0
1/10/2024 5:00,26.9,89,East North-East,12,20,0,NA,NA,0,0
1/10/2024 6:00,24,92,North,29,46,11.8,NA,NA,0,0
1/10/2024 7:00,25.7,92,East North-East,21,38,6.2,NA,NA,0,0
1/10/2024 8:00,26.9,87,East,24,29,0.4,NA,NA,0,0
1/10/2024 9:00,27.4,87,East North-East,28,36,0,NA,NA,0,0
1/10/2024 10:00,27.7,83,North-East,27,43,0,NA,NA,0,0
1/10/2024 11:00,28.5,82,North-East,23,41,0,NA,NA,0,0
1/10/2024 12:00,28.4,80,North North-East,27,42,0,NA,NA,0,0
1/10/2024 13:00,28.2,82,North North-East,27,42,0,NA,NA,0,0
1/10/2024 14:00,28.8,79,North North-East,28,44,0,NA,NA,0,0
1/10/2024 15:00,28.8,79,North North-East,23,39,0,NA,NA,0,0
1/10/2024 16:00,28.5,82,North North-East,21,43,0,NA,NA,0,0
1/10/2024 17:00,28.2,84,North,16,32,0,NA,NA,0,0
1/10/2024 18:00,28.1,83,North,17,29,0,NA,NA,0,0
1/10/2024 19:00,27.9,80,North,15,28,0,NA,NA,0,0
1/10/2024 20:00,27.9,81,North,15,28,0,NA,NA,0,0
1/10/2024 21:00,28,81,North,15,28,0,0,101.235,0,0
1/10/2024 22:00,28.1,83,North,14,27,0,0,101.2616667,0,0
1/10/2024 23:00,28,83,North,14,24,0,0,101.2466667,0,0
1/11/2024 0:00,28,82,North,11,26,0,0,101.1783333,0,0
1/11/2024 1:00,27.8,85,North,10,21,0,0,101.14,0,0
1/11/2024 2:00,27.8,84,North,12,24,0,0,101.08,0,0
1/11/2024 3:00,28,84,North North-West,11,25,0,0,101.0383333,0,0
1/11/2024 4:00,27.7,86,North,7,18,0,0,101.0316667,0,0
1/11/2024 5:00,24.8,93,West South-West,12,43,3.5,0,101.1233333,0,0
1/11/2024 6:00,24.3,95,West,4,27,6.5,0,101.2033333,0,0
1/11/2024 7:00,24.8,95,West South-West,2,13,0,0,101.2416667,0,0
1/11/2024 8:00,27,84,North-East,8,12,0,0.9,101.2716667,0,0
1/11/2024 9:00,27.9,82,East South-East,6,12,0,173.5,101.2733333,0,0
1/11/2024 10:00,28.1,80,East North-East,7,13,0,743.5666667,101.2433333,0,0
1/11/2024 11:00,27.9,84,East,9,14,0,849.0333333,101.2083333,0,0
1/11/2024 12:00,29.6,75,East North-East,6,14,0,929.8333333,101.1583333,0,0
1/11/2024 13:00,29.7,76,North-West,7,16,0,896.8,101.1083333,0,0
1/11/2024 14:00,30.1,75,North-West,9,19,0,848.7166667,101.06,0,0
1/11/2024 15:00,30.5,76,West North-West,8,19,0,780.9333333,101.015,0,0
1/11/2024 16:00,29.9,75,North-West,12,24,0,550.4166667,100.97,0,0
1/11/2024 17:00,29.7,77,North-West,10,19,0,326.65,101.0183333,0,0
1/11/2024 18:00,29.5,76,West North-West,4,16,0,111.8166667,101.1033333,0,0
1/11/2024 19:00,28.4,80,West South-West,5,13,0,15.95,101.1966667,0,0
1/11/2024 20:00,28.2,82,West South-West,7,14,0,0,101.2583333,0,0
1/11/2024 21:00,27.9,83,West South-West,5,15,0,0,101.2883333,0,0
1/11/2024 22:00,27.8,83,West South-West,5,9,0,0,101.3416667,0,0
1/11/2024 23:00,27,87,South-West,2,9,0,0,101.345,0,0
1/12/2024 0:00,26.9,90,West,3,8,0,0,101.305,0,0
